Country,Beta_Used,R0,Final_Size,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Young_Avg,Middle_Avg,Middle2_Avg,Old_Avg,Rank
Azerbaijan,0.058,3.048841429420784,0.7781764112532916,0.6846590777286663,0.805891363116118,0.9302344547105318,0.9875009519117288,0.9448953590020692,0.9076342562989408,0.8602647045563855,0.871478635225495,0.8970073502377491,0.8794612728676934,0.8166930120180756,0.607907237774179,0.3437254549788853,0.2503309159705762,0.3718428241383159,0.2915830793199623,0.8520714618667612,0.8960682387707226,0.8002672182244243,0.3143705686019349,48
Bahamas,0.058,3.073143191294719,0.7896203813598367,0.6960126083838564,0.9180808874583511,0.955878201883319,0.9849966957629662,0.8736440954752939,0.8336974208694077,0.8415666201962293,0.8811781113529054,0.8712130844261149,0.8230142289655608,0.7927307298443169,0.7121249105047489,0.5891919964518603,0.3561741706986375,0.3004131002393123,0.2076639748504037,0.8887420983721231,0.8575215619734591,0.7997707384351853,0.3633608105600534,49
China,0.058,2.542754897325384,0.7522303532747975,0.6096762176219896,0.847167498393359,0.8959726612067395,0.965711960466708,0.9250411449087624,0.8932417631493923,0.8481486808749025,0.8691021751287322,0.9054437729186824,0.8409825892393422,0.7369797857790132,0.7110775174243895,0.5321974632726226,0.3953532306380007,0.3483790164148607,0.2998753793037531,0.829632084422199,0.8838834410154474,0.7986209163403568,0.3939512724073092,50
Congo,0.058,3.122790924020443,0.888727010553696,0.8650935949011745,0.974478001005981,0.9698750774572972,0.9490856507849637,0.9034774823286288,0.9106267761150952,0.9230740301883428,0.9117744641081456,0.876491929130287,0.81617452459281,0.7954480430137058,0.7039217655809038,0.593591266642358,0.5121906971116845,0.4277625341331306,0.3239104874165714,0.9396330810373541,0.9122381881850531,0.7980090655794266,0.46436374632593613,51
Kyrgyzstan,0.058,3.0903465787052813,0.8306187820007735,0.7836875506660962,0.8720284410575102,0.9404464369598056,0.9858145359907822,0.9414552838582038,0.8983741465266585,0.853317931425322,0.856196093210065,0.8811185821876489,0.8409158335582296,0.809815487937775,0.6578707516257165,0.4476241024943012,0.2832299759673962,0.3583712668246439,0.3079360363936324,0.8954942411685485,0.8873358637550623,0.7974301638273424,0.3492903454199934,52
Latvia,0.058,2.27409729516184,0.72096412117639,0.7004964876743277,0.7332694802214688,0.7863504952737413,0.9271181413777344,0.9115811386058944,0.9233660554349656,0.861484586624819,0.8593597283641654,0.8639148729763252,0.8267247782447016,0.8124883780718279,0.6819518431212651,0.5083816864245247,0.5084608333077746,0.5325321061218016,0.4155003369841173,0.7868086511368181,0.888947877257461,0.7962699681035299,0.49121874070955457,53
Poland,0.058,2.576938070289608,0.7598547340196562,0.6174089817766053,0.7702177831102255,0.9058397216567584,0.9570686683793068,0.9400386431639416,0.9422395397719994,0.8975976531473504,0.8831209297926906,0.8629989350176124,0.8186116296429444,0.8076676498019754,0.695048868663477,0.555499904010618,0.4492901717700801,0.5705091740859618,0.4103965958642446,0.812633788730724,0.9157491914689955,0.7960817707815023,0.4964239614327261,54
Estonia,0.058,2.2585682457240206,0.7217864163301743,0.648485349924427,0.7668468783611955,0.8804443693744618,0.9238414637359122,0.901162464538084,0.892543613546288,0.8499177099066149,0.8588732319012353,0.864137418506346,0.8065841882843144,0.8019405086234963,0.7102529575997902,0.5351433501816462,0.4397587143349507,0.5172479260717333,0.3762984086747171,0.8049045153489991,0.8756242549730555,0.7957287682534867,0.46711209981576185,55
United Arab Emirates,0.058,3.330212070357751,0.8956740721454561,0.8892369369167314,0.9395810903241908,0.931337448899232,0.9640806143996744,0.9842416606857698,0.98316623392336,0.967481649610016,0.9368588344081136,0.8771903489727831,0.8107793209153058,0.8052416726283097,0.6878981791466574,0.5301066913216055,0.3296223756550401,0.3071554519926996,0.2131218299213796,0.9310590226349571,0.9679370946568149,0.795277380415764,0.34500158722268115,56
Philippines,0.058,3.1534691396933563,0.8352797316297571,0.7530242182400871,0.9472519817834656,0.9748336849384684,0.9809943257036062,0.9025790267670448,0.8702726913177604,0.8654337907595334,0.8749595349314956,0.8669604358546374,0.8202638398347832,0.7966179626516037,0.6953954590593963,0.5516024247441537,0.3642203129301072,0.3476380443403296,0.241591416894962,0.9140260526664068,0.8783112609439585,0.7948094243501052,0.3762630497273881,57
